,lat,lon,City,Name.x,Size,CensusApr2010,EstApr2010,PopEst2010,PopEst2011,PopEst2012,PopEst2013,PopEst2014
1,30.267153,-97.7430608,Austin,Austin R UseR Group,624,790390,811458,816022,839714,865571,887124,912791
2,44.4758825,-73.212072,Burlington,Burlington R Users,159,49963,50922,51043,51120,51285,51536,51812
3,41.8781136,-87.6297982,Chicago,Chicago R user's Group,1700,2695598,2695598,2697319,2705627,2715415,2722307,2722389
4,41.49932,-81.6943605,Cleveland,Cleveland R User Group,231,396815,396697,395994,392505,391406,391156,389521
5,38.5449065,-121.7405167,Davis,Davis R User's Group,,65622,65611,65587,65741,65925,66421,66742
6,43.1339545,-70.9264393,Durham,New Hampshire R Users Group (NH UseRs),,228330,228404,229195,234089,239781,245578,251893
7,34.0522342,-118.2436849,Los Angeles,Los Angeles area R Users Group,1420,3792621,3792657,3796290,3826423,3861678,3897940,3928864
8,43.0730517,-89.4012302,Madison,Madison R Programming UseRs Group (MadR),NA,233209,233059,233515,236923,239932,243212,245691
9,44.9761541,-93.2674306,Minneapolis,Twin Cities R User Group (TCRUG),612,382578,382599,383062,388253,392966,400647,407207
10,40.7127837,-74.0059413,New York,New York Open Statistical Programming Meetup,4898,8175133,8174959,8191853,8287238,8365903,8438379,8491079
11,40.7127837,-74.0059413,New York,New York Open Statistical Programming Meetup,,8175133,8174959,8191853,8287238,8365903,8438379,8491079
12,40.4406248,-79.9958864,Pittsburgh,Pittsburgh userR Group,,305704,305702,305656,306099,306373,306726,305412
13,32.715738,-117.1610838,San Diego,San Diego R Users Group,,1307402,1301621,1306133,1321016,1339644,1359844,1381069
14,32.715738,-117.1610838,San Diego,San Diego R Users Group,613,1307402,1301621,1306133,1321016,1339644,1359844,1381069
15,37.7749295,-122.4194155,San Francisco,Bay Area useR Group (BARUG),485,805235,805195,805825,816239,829691,841138,852469
16,37.7749295,-122.4194155,San Francisco,Bay Area useR Group (BARUG),4052,805235,805195,805825,816239,829691,841138,852469
17,37.7749295,-122.4194155,San Francisco,R-ladies SF,4052,805235,805195,805825,816239,829691,841138,852469
18,37.7749295,-122.4194155,San Francisco,R-ladies SF,485,805235,805195,805825,816239,829691,841138,852469
19,34.4208305,-119.6981901,Santa Barbara,Santa Barbara R Users Group,139,88410,88411,88525,88757,89541,90428,91196
20,47.6062095,-122.3320708,Seattle,Seattle R User Group,1238,608660,608658,610298,622175,635063,653404,668342
21,38.9071923,-77.0368707,Washington DC,Statistical Programming DC,,601723,601767,605210,620427,635040,649111,658893
